Blockchain,Date,DEX,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Polygon,2022-12-15,Apeswap,204,63,13868.94682,67.98503342,29.59512365
Polygon,2022-12-15,Cafeswap,3,2,5.514837605,1.838279202,2.006449061
Polygon,2022-12-15,Dfyn Network,190,58,56636.49197,298.0867999,64.00803637
Polygon,2022-12-15,Farmhero,1,1,3.904357253,3.904357253,3.904357253
Polygon,2022-12-15,Kyberswap,551,3,272495.509,494.5472032,279.8518122
Polygon,2022-12-15,Others,8905,1260,11334989.63,1272.87924,13.31528654
Polygon,2022-12-15,Polycat,4,2,13.95586964,3.488967411,3.471935289
Polygon,2022-12-15,Quickswap,6771,1283,781120.0526,115.3625835,28.22897045
Polygon,2022-12-15,SushiSwap,53083,21409,21731861.64,409.3939988,5.867612482
Polygon,2022-12-15,Uniswap,9211,4328,8243713.078,894.9856778,29.32789473
Solana,2022-12-15,Jupiter,119573,4529,9598471.808,80.27290281,3.006198594
Solana,2022-12-15,Orca,2170,407,572131.6727,263.6551487,4.897664173
Solana,2022-12-15,Raydium,3354,1015,873497.0251,260.4344142,21.21574212
Solana,2022-12-15,Saber,127,21,1158404.148,9121.292502,44.64060149
THORChain,2022-12-15,THORChain,13601,429,15492697.54,773.8610158,434.2750584
Algorand,2022-12-16,Algofi,4170,94,200510.5719,44.16532422,7.111115181
Algorand,2022-12-16,FXDX,43,14,11524.59298,268.0137902,42.87780784
Algorand,2022-12-16,Humble,256,40,93602.27588,365.6338901,394.4318309
Algorand,2022-12-16,Pact,3688,141,1498000.234,372.2664597,6.763155296
Algorand,2022-12-16,Tinyman,18287,1143,2069467.463,113.1660449,4.659056604
Arbitrum,2022-12-16,1inch Network,3747,1221,6042525.54,1612.630248,481.5981605
Arbitrum,2022-12-16,Camelot,367,155,128788.3636,350.9219716,37.94776646
Arbitrum,2022-12-16,Fraxswap,59,10,21424.34981,363.1245731,234.0916275
Arbitrum,2022-12-16,GMX,1530,732,1665378.978,1088.482992,36.71563
Arbitrum,2022-12-16,Layer2dao,1,1,29756.7047,29756.7047,29756.7047
Arbitrum,2022-12-16,Others,13579,2187,20293933.93,1494.508722,487.8148312
Arbitrum,2022-12-16,Rage Trade,101,83,4693.719568,46.47247097,8.230589168
Arbitrum,2022-12-16,Sumswap,23,6,2348.294346,102.0997542,84.18373759
Arbitrum,2022-12-16,SushiSwap,30189,10002,25399743.61,841.3575676,12.63635692
Arbitrum,2022-12-16,Uniswap,27866,8821,31377769.58,1126.023454,0.195125933
Avalanche,2022-12-16,1inch Network,1744,355,2883335.625,1653.288776,507.259254
Avalanche,2022-12-16,Alpha Nodes,28,17,1626575.434,58091.97979,85225.16292
Avalanche,2022-12-16,Beefy Finance,34,23,11746.09761,345.473459,38.35143381
Avalanche,2022-12-16,Cycle Finance,1,1,5.054522801,5.054522801,5.054522801
Avalanche,2022-12-16,GMX,75,48,593869.123,7918.254973,244.3363045
Avalanche,2022-12-16,Grape Finance,5,5,0.169178544,0.033835709,0.007583668
Avalanche,2022-12-16,Hakuswap,4,4,74.72145301,18.68036325,17.47999222
Avalanche,2022-12-16,Ihelp Protocol,1,1,2.28E-05,2.28E-05,2.28E-05
Avalanche,2022-12-16,Lydia Finance,31,9,318.2657315,10.2666365,4.274903497
Avalanche,2022-12-16,Others,5166,530,2345304.693,453.9885198,167.6512012
Avalanche,2022-12-16,Pangolin,1591,302,473914.107,297.871846,105.9802296
Avalanche,2022-12-16,SushiSwap,7355,1920,2498600.497,339.7145475,65.22058006
Avalanche,2022-12-16,Trader Joe,6894,3015,1542782.821,223.78631,25.38048431
Avalanche,2022-12-16,YakSwap,226,60,346328.7191,1532.427961,486.7689137
Avalanche,2022-12-16,Yetiswap,23,3,129.2065405,5.617675674,4.247874227
Avalanche,2022-12-16,Yieldwolf,2,1,2.825573184,1.412786592,1.412786592
BSC,2022-12-16,Biswap,2865,1316,1626354.103,567.6628633,97.29123745
BSC,2022-12-16,Bnbback,1,1,68.73117734,68.73117734,68.73117734
BSC,2022-12-16,Bodatoken,2,1,1.259258401,0.629629201,0.629629201
BSC,2022-12-16,Bogged Finance,1,1,47.42674765,47.42674765,47.42674765
BSC,2022-12-16,Brewlabs,2,2,0.134202103,0.067101052,0.067101052
BSC,2022-12-16,Busd Buffet,1,1,0.381622787,0.381622787,0.381622787
BSC,2022-12-16,Cake Monster,6,5,371.2239596,61.87065994,0.84928242
BSC,2022-12-16,Catcoin,3,3,21.98835417,7.329451389,0.632320398
BSC,2022-12-16,Corsac,1,1,0.165388379,0.165388379,0.165388379
BSC,2022-12-16,Crusaders Of Crypto,1,1,0.203052844,0.203052844,0.203052844
BSC,2022-12-16,Crypto Chip Token,2,2,0.747693891,0.373846945,0.373846945
BSC,2022-12-16,Divewallet,1,1,358.7122249,358.7122249,358.7122249
BSC,2022-12-16,Doge Floki,2,1,13.29333959,6.646669796,6.646669796
BSC,2022-12-16,Dogeking,4,4,171.0742007,42.76855018,17.30438355
BSC,2022-12-16,Dyor,1,1,6.202317889,6.202317889,6.202317889
BSC,2022-12-16,Earnbusd,1,1,21.84456795,21.84456795,21.84456795
BSC,2022-12-16,Ecoin Finance,1,1,1.159203997,1.159203997,1.159203997
BSC,2022-12-16,Empire,1,1,10.80127334,10.80127334,10.80127334
BSC,2022-12-16,Eroverse,1,1,0.360502154,0.360502154,0.360502154
BSC,2022-12-16,Evereth,1,1,0.978943417,0.978943417,0.978943417
BSC,2022-12-16,Exzocoin,1,1,0.727595498,0.727595498,0.727595498
BSC,2022-12-16,FatSwap,384,243,38346.12755,99.85970717,25.73246476
BSC,2022-12-16,Floki Shiba,1,1,1.810197874,1.810197874,1.810197874
BSC,2022-12-16,Floki Verse,1,1,3.60E-11,3.60E-11,3.60E-11
BSC,2022-12-16,Flokimooni,1,1,0.734597426,0.734597426,0.734597426
BSC,2022-12-16,Futura Finance,2,1,7.235296819,3.617648409,3.617648409
BSC,2022-12-16,Hamster,12,12,4.090126046,0.340843837,0.263767718
BSC,2022-12-16,Hodl,17,17,118.76006,6.985885881,5.201152238
BSC,2022-12-16,Kaiken Shiba,3,2,0.004426281,0.001475427,0.00147524
BSC,2022-12-16,Libero,1,1,46.46604371,46.46604371,46.46604371
BSC,2022-12-16,Loop Network,9,7,358.0918048,39.78797831,37.49769709
BSC,2022-12-16,Luckyblock,7,6,35.01198071,5.00171153,0.665683246
BSC,2022-12-16,MDEX,1,1,4.327464424,4.327464424,4.327464424
BSC,2022-12-16,Metacash,1,1,0.534662571,0.534662571,0.534662571
BSC,2022-12-16,Metapets,4,3,0.060379837,0.015094959,0.015093062
BSC,2022-12-16,Movey,1,1,0.300395523,0.300395523,0.300395523
BSC,2022-12-16,Nelore Coin,1,1,44.37008397,44.37008397,44.37008397
BSC,2022-12-16,Nomiswap,1799,906,9729266.074,5408.152348,244.7159135
BSC,2022-12-16,Orion,11246,27,13212433.54,1174.856263,438.0245607
BSC,2022-12-16,Others,60175,20771,41408608.07,688.1364033,63.72863271
BSC,2022-12-16,PancakeSwap,61156,10397,118690999.8,1940.790762,238.3046866
BSC,2022-12-16,Pige Inu,2,2,2.234083404,1.117041702,1.117041702
BSC,2022-12-16,Reflex Finance,1,1,723.7283888,723.7283888,723.7283888
BSC,2022-12-16,Reward Hunters Token,1,1,2.048662808,2.048662808,2.048662808
BSC,2022-12-16,Riseupv2,1,1,25.8392773,25.8392773,25.8392773
BSC,2022-12-16,Safemoon,30,25,2230.475824,74.34919414,70.82926568
BSC,2022-12-16,Safenebula,1,1,0.030917594,0.030917594,0.030917594
BSC,2022-12-16,Safermoon,1,1,4.57950609,4.57950609,4.57950609
BSC,2022-12-16,Safuu,27,20,12627.96017,467.7022286,16.57412723
BSC,2022-12-16,Sanji Inu,1,1,98.9894896,98.9894896,98.9894896
BSC,2022-12-16,Saylor Moon,1,1,51.57516025,51.57516025,51.57516025
BSC,2022-12-16,Shiba General,1,1,0.223655077,0.223655077,0.223655077
BSC,2022-12-16,Simba Inu,1,1,0.00080499,0.00080499,0.00080499
BSC,2022-12-16,Steam Exchange,1,1,6.017117869,6.017117869,6.017117869
BSC,2022-12-16,SushiSwap,439428,141365,105782478.5,240.7276699,33.9308255
BSC,2022-12-16,Titano,1,1,335.1607615,335.1607615,335.1607615
BSC,2022-12-16,Transhuman Coin,2,2,6.959071685,3.479535842,3.479535842
BSC,2022-12-16,Urutoken,2,2,1.08E-09,5.41E-10,5.41E-10
BSC,2022-12-16,Volt Inu,2,2,0.983874874,0.491937437,0.491937437
BSC,2022-12-16,W3Swap,511,294,350295.7596,685.5102929,212.3477747
BSC,2022-12-16,Walk With Step,1,1,149.6498256,149.6498256,149.6498256
BSC,2022-12-16,Y-5 Finance,5,5,0.678070839,0.135614168,0.026543689
BSC,2022-12-16,Yieldzilla,1,1,0.74026407,0.74026407,0.74026407
BSC,2022-12-16,Zombie Inu,4,4,2.857820287,0.714455072,0.555387739
BSC,2022-12-16,Zooswap,1270,598,181050.0786,142.559117,180.1635571
Ethereum,2022-12-16,Balancer,1592,672,90672216.85,44360.18437,2939.735
Ethereum,2022-12-16,Curve,1734,178,120355199.2,58997.64668,6996.465
Ethereum,2022-12-16,SushiSwap,6562,153,14811158.4,2025.873123,606.0546586
Ethereum,2022-12-16,Uniswap,61667,267,1245918332,15728.11468,666.05
Ethereum,2022-12-16,synthetix,26,22,2546307.465,97934.9025,84412.69281
Flow,2022-12-16,BltUsdtSwapPair,35,17,20960.46633,598.8704666,182.2581887
Flow,2022-12-16,FlowSwapPair,266,100,103642.3972,379.6424807,142.5613323
Flow,2022-12-16,FusdUsdtSwapPair,105,52,9471.981709,90.20934961,6.00601386
Flow,2022-12-16,RevvFlowSwapPair,1,1,8.033072799,8.033072799,8.033072799
Flow,2022-12-16,StarlyUsdtSwapPair,112,8,8119.146163,72.49237646,61.84701349
Flow,2022-12-16,SwapPair,101,14,21668.36809,162.9200608,1.072373137
Flow,2022-12-16,UsdcUsdtSwapPair,97,43,14143.19969,135.9923047,29.57975124
Gnosis,2022-12-16,Elk,11,8,547.7056015,49.79141832,5.311846534
Gnosis,2022-12-16,Others,241,33,43971.79834,182.4555948,120.787947
Gnosis,2022-12-16,SushiSwap,3010,383,186075.2768,61.81902883,1.252164603
Gnosis,2022-12-16,Uniswap,1339,77,15029.46262,11.22439329,0.992964136
NEAR,2022-12-16,Jumbo,88,2,20203.82369,222.0200406,18.07380622
NEAR,2022-12-16,Others,1558,246,1141744.746,614.8329272,46.66147573
NEAR,2022-12-16,Ref Finance,962,39,2957544.018,2273.285179,86.99913739
Optimism,2022-12-16,Balancer,60,40,253946.9608,4232.449347,58.0186358
Optimism,2022-12-16,Beefy Finance,31,28,36.9371002,1.191519361,0.066859837
Optimism,2022-12-16,Brahma,2,1,834.6442724,417.3221362,417.3221362
Optimism,2022-12-16,Defi Saver,1,1,38.24252234,38.24252234,38.24252234
Optimism,2022-12-16,Dhedge,4,1,159.2210205,39.80525513,42.96900489
Optimism,2022-12-16,Elk Finance,13,4,140.8508707,10.83468236,0.091677513
Optimism,2022-12-16,Frax Finance,3,2,1.947687384,0.649229128,0.373872083
Optimism,2022-12-16,Gnosis Safe,81,34,890.3547076,10.99203343,1.037025708
Optimism,2022-12-16,Homora V2,34,19,26647.59654,783.7528393,6.85E-05
Optimism,2022-12-16,Kyberswap,92,1,107814.9725,1171.901875,1203.568125
Optimism,2022-12-16,Others,3844,312,7821067.817,2034.617018,1193.544974
Optimism,2022-12-16,Overnight,103,7,133601.9391,1297.106205,884.24947
Optimism,2022-12-16,ParaSwap,30,28,2697.642169,89.92140563,0.09998605
Optimism,2022-12-16,Perpetual Protocol,62,3,4215.280544,67.98839587,1.068854424
Optimism,2022-12-16,Reaper Farm,2,2,123.3551337,61.67756686,61.67756686
Optimism,2022-12-16,Rubicon,749,6,91377.27188,121.9990279,22.90393586
Optimism,2022-12-16,SushiSwap,3993,1653,4742410.095,1187.680966,100.3509639
Optimism,2022-12-16,Thales,5,1,1503.448329,300.6896658,305.0016394
Optimism,2022-12-16,Uniswap,21634,10313,5341374.335,246.8972144,35.03176928
Optimism,2022-12-16,Velodrome,21977,3618,59329997.51,2699.64042,0.970581583
Optimism,2022-12-16,Zipswap,12,11,1131.596922,94.29974352,18.2507863
Osmosis,2022-12-16,Osmosis,18219,4460,6219707.789,341.3483227,28.16832496
Polygon,2022-12-16,Apeswap,352,45,60432.1558,171.6822608,75.97803295
Polygon,2022-12-16,Cafeswap,4,3,4.398646329,1.099661582,1.130424944
Polygon,2022-12-16,Dfyn Network,205,57,78640.25814,383.6110153,95.27235435
Polygon,2022-12-16,Kyberswap,830,3,418058.2329,503.684618,303.8436673
Polygon,2022-12-16,Others,12410,1407,27871043.72,2245.853644,252.9044698
Polygon,2022-12-16,Polycat,5,2,13.63236257,2.726472515,0.000721122
Polygon,2022-12-16,Quickswap,7553,1515,1253212.9,165.9225341,34.06280046
Polygon,2022-12-16,SushiSwap,68837,23072,38938887.39,565.6679894,12.94133378
Polygon,2022-12-16,Uniswap,11145,4332,15464510.54,1387.573849,101.3636985
Solana,2022-12-16,Jupiter,143423,5472,17239945.47,120.2034923,3.417627462
Solana,2022-12-16,Orca,2912,522,555925.0494,190.9083274,10.59257519
Solana,2022-12-16,Raydium,3914,1130,519853.2414,132.8189171,18.30131147
Solana,2022-12-16,Saber,247,22,4459253.523,18053.65799,60.02318393
THORChain,2022-12-16,THORChain,21809,454,27174595.12,779.132838,427.0120258
Algorand,2022-12-17,Algofi,2084,97,69492.37266,29.99239217,4.307865196
Algorand,2022-12-17,FXDX,11,4,28894.87407,2626.806733,315.1249116
Algorand,2022-12-17,Humble,227,37,68574.58949,302.0907026,285.2785418
Algorand,2022-12-17,Pact,1969,99,236990.8751,110.0747214,6.724288832
Algorand,2022-12-17,Tinyman,12600,1065,1147033.606,91.03441316,2.796383435
Arbitrum,2022-12-17,1inch Network,2967,1186,3651496.954,1230.703389,200.3174781
Arbitrum,2022-12-17,Camelot,437,200,67253.56782,153.8983245,27.03188272
Arbitrum,2022-12-17,Fraxswap,36,8,7747.663702,215.2128806,229.4973707
Arbitrum,2022-12-17,GMX,1461,649,501515.6396,343.2687472,26.50289338
Arbitrum,2022-12-17,Others,8298,1818,8061776.593,971.5324889,237.1000435
Arbitrum,2022-12-17,Rage Trade,63,55,2783.068393,44.17568878,9.98116801
Arbitrum,2022-12-17,Sumswap,26,8,1860.269217,71.54881604,49.89383096
Arbitrum,2022-12-17,SushiSwap,25581,10594,11417445.94,446.3252392,2.745435345
Arbitrum,2022-12-17,Uniswap,22020,8548,16718167.92,759.2265175,0.707020114
Avalanche,2022-12-17,1inch Network,1320,344,2956813.196,2240.009997,499.6992301
Avalanche,2022-12-17,Alpha Nodes,24,11,1255353.598,52306.3999,82844.87059
Avalanche,2022-12-17,Beefy Finance,29,25,2593.967112,89.44714178,12.47883687
Avalanche,2022-12-17,GMX,55,39,82367.78057,1497.59601,198.8581078
Avalanche,2022-12-17,Grape Finance,6,6,32.88454132,5.480756887,2.794415923
Avalanche,2022-12-17,Hakuswap,9,8,246.0351176,27.33723529,3.889407811
Avalanche,2022-12-17,Ihelp Protocol,1,1,2.32E-05,2.32E-05,2.32E-05
Avalanche,2022-12-17,Lydia Finance,23,4,428.9693178,18.6508399,4.495371898
Avalanche,2022-12-17,Others,2248,566,3797841.946,1689.43147,160.7709311
Avalanche,2022-12-17,Pangolin,1277,288,275946.0836,216.0893372,61.38671752
Avalanche,2022-12-17,Radar,2,1,449.6412508,224.8206254,224.8206254
Avalanche,2022-12-17,SushiSwap,6324,2156,1281485.878,202.6385006,40.47912762
Avalanche,2022-12-17,Trader Joe,6358,2739,1090598.969,171.5317661,24.71514415
Avalanche,2022-12-17,YakSwap,85,49,157612.757,1854.267729,72.72211015
Avalanche,2022-12-17,Yetiswap,45,5,151.5742494,3.368316654,3.076831031
Avalanche,2022-12-17,Yieldwolf,3,3,3.110170077,1.036723359,1.115660662
BSC,2022-12-17,Biswap,2437,1314,1278321.048,524.5470037,50.03842274
BSC,2022-12-17,Bodatoken,1,1,0.029375693,0.029375693,0.029375693
BSC,2022-12-17,Brewlabs,1,1,0.012692747,0.012692747,0.012692747
BSC,2022-12-17,Bridge$,1,1,0.000176858,0.000176858,0.000176858
BSC,2022-12-17,Bullish Af,1,1,0.002691669,0.002691669,0.002691669
BSC,2022-12-17,Caash,1,1,1.066850693,1.066850693,1.066850693
BSC,2022-12-17,Cake Monster,5,5,739.1764744,147.8352949,12.06840663
BSC,2022-12-17,Catcoin,6,5,48.31853283,8.053088804,7.011694778
BSC,2022-12-17,Cryogen,1,1,0.06813184,0.06813184,0.06813184
BSC,2022-12-17,Crypter,1,1,0.060092267,0.060092267,0.060092267
BSC,2022-12-17,Doge Floki,3,3,16.90335995,5.634453316,5.658575836
BSC,2022-12-17,Dogeking,1,1,16.44804202,16.44804202,16.44804202
BSC,2022-12-17,Early Bird,1,1,1.532935486,1.532935486,1.532935486
BSC,2022-12-17,Earnbusd,1,1,0.169892469,0.169892469,0.169892469
BSC,2022-12-17,Elonbank,1,1,0.171144211,0.171144211,0.171144211
BSC,2022-12-17,Empire,4,3,40.1070204,10.0267551,10.02798768
BSC,2022-12-17,Eroverse,3,3,1.20772381,0.402574603,0.339085302
BSC,2022-12-17,Eth Fan,1,1,0.00015021,0.00015021,0.00015021
BSC,2022-12-17,Ethernal Finance,1,1,133.9876595,133.9876595,133.9876595
BSC,2022-12-17,Evereth,3,3,7.2936317,2.431210567,2.508185646
BSC,2022-12-17,Evergrow,2,2,1.271175796,0.635587898,0.635587898
BSC,2022-12-17,FatSwap,401,265,44185.42876,110.1881017,22.67975187
BSC,2022-12-17,Flokimooni,3,2,20.57388934,6.857963114,7.077632325
BSC,2022-12-17,Fomoeth,1,1,1.18E-15,1.18E-15,1.18E-15
BSC,2022-12-17,French Connection Finance,1,1,20.15641064,20.15641064,20.15641064
BSC,2022-12-17,Futura Finance,2,1,6.912902026,3.456451013,3.456451013
BSC,2022-12-17,Go Bnb,1,1,15.37732668,15.37732668,15.37732668
BSC,2022-12-17,Grimacecoin,1,1,5.091429598,5.091429598,5.091429598
BSC,2022-12-17,Hamster,3,3,0.098574497,0.032858166,0.03451292
BSC,2022-12-17,Hodl,9,9,54.33813595,6.037570662,6.000488628
BSC,2022-12-17,Librium Tech,2,1,1.718694542,0.859347271,0.859347271
BSC,2022-12-17,Lil Floki,1,1,0.001920808,0.001920808,0.001920808
BSC,2022-12-17,Loop Network,8,6,272.9865425,34.12331781,39.23346111
BSC,2022-12-17,Luckyblock,1,1,3.157825762,3.157825762,3.157825762
BSC,2022-12-17,MDEX,3,3,22.62024714,7.540082379,7.338135995
BSC,2022-12-17,Maneki Inu,1,1,19.58260806,19.58260806,19.58260806
BSC,2022-12-17,Meta Face,1,1,252.1076921,252.1076921,252.1076921
BSC,2022-12-17,Metabusdcoin,1,1,1.467614497,1.467614497,1.467614497
BSC,2022-12-17,Metacash,2,2,0.213849876,0.106924938,0.106924938
BSC,2022-12-17,Metanet,1,1,2.945565232,2.945565232,2.945565232
BSC,2022-12-17,Metapets,6,5,0.084863104,0.014143851,0.014136279
BSC,2022-12-17,Moonlight Token,1,1,177.4300732,177.4300732,177.4300732
BSC,2022-12-17,Nelore Coin,4,4,118.1573469,29.53933673,24.90195443
BSC,2022-12-17,Nomiswap,1715,856,19424424.13,11326.19483,178.4086897
BSC,2022-12-17,Orion,19731,27,22371879.89,1133.844199,408.7833923
BSC,2022-12-17,Others,50602,18965,29513223.15,583.2422267,49.77362323
BSC,2022-12-17,PancakeSwap,57071,9950,84352223.32,1478.022521,206.9625831
BSC,2022-12-17,Pancakepoll,1,1,3.052069891,3.052069891,3.052069891
BSC,2022-12-17,Phoenixco,3,2,0.287803626,0.095934542,0.096270559
BSC,2022-12-17,Reflex Finance,1,1,10.81034039,10.81034039,10.81034039
BSC,2022-12-17,Rewardeum,1,1,0.167139229,0.167139229,0.167139229
BSC,2022-12-17,Rougecoin,1,1,6.65E-06,6.65E-06,6.65E-06
BSC,2022-12-17,Safemoon,86,48,5896.774232,68.56714223,68.64701938
BSC,2022-12-17,Safetesla,1,1,5.662754825,5.662754825,5.662754825
BSC,2022-12-17,Safuu,23,11,1401.936792,60.95377359,23.17446382
BSC,2022-12-17,Sanji Inu,2,2,46.87580056,23.43790028,23.43790028
BSC,2022-12-17,Saylor Moon,1,1,48.61756002,48.61756002,48.61756002
BSC,2022-12-17,Shib Army,1,1,3.085848775,3.085848775,3.085848775
BSC,2022-12-17,Simba Inu,1,1,0.000121394,0.000121394,0.000121394
BSC,2022-12-17,Sparklab,1,1,0.000102369,0.000102369,0.000102369
BSC,2022-12-17,Spywolf,1,1,3.480988496,3.480988496,3.480988496
BSC,2022-12-17,SushiSwap,376391,131493,90188630.09,239.6142046,35.21014522
BSC,2022-12-17,Transhuman Coin,3,1,9.801187156,3.267062385,1.869508215
BSC,2022-12-17,Uland,1,1,0.072334189,0.072334189,0.072334189
BSC,2022-12-17,Volt Inu,2,1,0.429679556,0.214839778,0.214839778
BSC,2022-12-17,W3Swap,507,280,407638.395,804.0205029,287.3236791
BSC,2022-12-17,Walk With Step,1,1,172.8008736,172.8008736,172.8008736
BSC,2022-12-17,Whenlambo,1,1,0.523691857,0.523691857,0.523691857
BSC,2022-12-17,Y-5 Finance,4,4,0.058791507,0.014697877,0.014683036
BSC,2022-12-17,Zombie Inu,2,2,0.878465806,0.439232903,0.439232903
BSC,2022-12-17,Zooswap,1359,609,208238.9847,153.2295693,178.1155388
Ethereum,2022-12-17,Balancer,904,421,84416182.74,68854.96145,2246.295
Ethereum,2022-12-17,Curve,1833,150,128890044,59616.11656,6978.64
Ethereum,2022-12-17,SushiSwap,6089,143,9725000.129,1446.957317,426.0667155
Ethereum,2022-12-17,Uniswap,53292,234,672962807.8,10159.46268,488.3992869
Ethereum,2022-12-17,synthetix,36,22,2236122.238,62114.5066,39803.22743
Flow,2022-12-17,BltUsdtSwapPair,30,16,3773.66805,125.788935,14.8501676
Flow,2022-12-17,FlowSwapPair,240,92,97250.76258,398.5686991,138.0441519
Flow,2022-12-17,FusdUsdtSwapPair,84,49,5874.794714,69.93803232,8.805921133
Flow,2022-12-17,RevvFlowSwapPair,3,3,826.771252,275.5904173,28.12685432
Flow,2022-12-17,StarlyUsdtSwapPair,48,7,2854.612899,59.47110207,56.62632036
Flow,2022-12-17,SwapPair,102,16,30292.46481,240.4163874,0.636016422
Flow,2022-12-17,UsdcUsdtSwapPair,65,35,19168.00025,277.797105,46.33751879
Gnosis,2022-12-17,Elk,8,4,263.7119068,32.96398834,4.144168792
Gnosis,2022-12-17,Others,148,35,24920.69669,168.3830857,64.88582919
Gnosis,2022-12-17,SushiSwap,1161,249,63583.99217,54.76657379,2.060140038
Gnosis,2022-12-17,Uniswap,653,71,11549.36421,17.68662207,0.993726126
NEAR,2022-12-17,Jumbo,12,2,112.9842334,9.415352784,7.408466736
NEAR,2022-12-17,Others,1415,227,865412.5922,480.251161,28.5540011
NEAR,2022-12-17,Ref Finance,420,30,1793491.991,3705.561964,620.2811284
Optimism,2022-12-17,Balancer,51,43,36796.98531,721.509516,61.93027503
Optimism,2022-12-17,Beefy Finance,23,22,31.05551546,1.350239803,0.051639721
Optimism,2022-12-17,Dhedge,2,1,7.685774209,3.842887104,3.842887104
Optimism,2022-12-17,Elk Finance,2,2,11.0273848,5.513692398,5.513692398
Optimism,2022-12-17,Frax Finance,9,7,1.782751529,0.198083503,0.117115653
Optimism,2022-12-17,Gnosis Safe,72,25,819.8598758,11.38694272,1.179220061
Optimism,2022-12-17,Homora V2,21,10,159019.6196,7572.362836,1.15E-06
Optimism,2022-12-17,Kyberswap,46,2,48571.40663,1055.900144,1154.467875
Optimism,2022-12-17,Nuke Vaults,1,1,1.374217322,1.374217322,1.374217322
Optimism,2022-12-17,Others,2156,380,3148973.016,1460.562623,462.5374167
Optimism,2022-12-17,Overnight,65,8,42684.61921,656.6864495,75.44849266
Optimism,2022-12-17,ParaSwap,47,39,6643.436629,141.3497155,0.099976306
Optimism,2022-12-17,Perpetual Protocol,21,2,2336.163828,111.2458966,166.3355444
